filename,usage,bounding_box,neutral,happiness,surprise,sadness,anger,disgust,fear,contempt,unknown,NF
fer0000000.png,Training,"(0, 0, 48, 48)",6,0,1,1,0,0,0,0,2,0
fer0000001.png,Training,"(0, 0, 48, 48)",5,0,0,3,1,0,0,0,1,0
fer0000002.png,Training,"(0, 0, 48, 48)",4,0,0,4,1,0,0,0,1,0
fer0000003.png,Training,"(0, 0, 48, 48)",9,0,0,1,0,0,0,0,0,0
fer0000004.png,Training,"(0, 0, 48, 48)",6,0,0,1,0,0,1,1,1,0
fer0000005.png,Training,"(0, 0, 48, 48)",2,0,0,8,0,0,0,0,0,0
fer0000006.png,Training,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0000007.png,Training,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0000008.png,Training,"(0, 0, 48, 48)",0,0,6,0,0,0,4,0,0,0
fer0000009.png,Training,"(0, 0, 48, 48)",2,0,0,0,8,0,0,0,0,0
fer0000010.png,Training,"(0, 0, 48, 48)",10,0,0,0,0,0,0,0,0,0
fer0000011.png,Training,"(0, 0, 48, 48)",5,0,0,3,0,0,0,0,2,0
fer0000012.png,Training,"(0, 0, 48, 48)",9,0,0,1,0,0,0,0,0,0
fer0000013.png,Training,"(0, 0, 48, 48)",0,10,0,0,0,0,0,0,0,0
fer0000014.png,Training,"(0, 0, 48, 48)",0,0,6,0,1,0,3,0,0,0
fer0000015.png,Training,"(0, 0, 48, 48)",4,6,0,0,0,0,0,0,0,0
fer0000016.png,Training,"(0, 0, 48, 48)",1,0,2,4,2,0,0,0,1,0
fer0000017.png,Training,"(0, 0, 48, 48)",6,1,0,0,3,0,0,0,0,0
fer0000018.png,Training,"(0, 0, 48, 48)",5,0,0,4,0,0,0,0,1,0
fer0000019.png,Training,"(0, 0, 48, 48)",1,0,1,2,0,0,5,0,1,0
fer0000020.png,Training,"(0, 0, 48, 48)",1,0,1,1,7,0,0,0,0,0
